,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
149,Kawalu,12,ID,1547513080,96,-7.38,108.21,68.71,2.84
150,Bairnsdale,12,AU,1547513080,69,-37.83,147.63,85.81,2.55
151,Morondava,36,MG,1547513080,100,-20.3,44.28,76.54,4.23
152,Tommot,20,RU,1547513081,34,58.97,126.27,-24.36,2.39
153,Pacific Grove,90,US,1547512200,81,36.62,-121.92,55.4,4.7
154,Yerofey Pavlovich,44,RU,1547513081,45,53.97,121.97,-16.57,2.84
155,Kavaratti,0,IN,1547513081,100,10.57,72.64,82.16,9.6
156,Esperance,20,TT,1547510400,73,10.24,-61.45,77.0,6.02
157,Chicama,90,PE,1547510400,83,-7.84,-79.15,73.4,11.41
158,Darnah,100,LY,1547513081,100,32.77,22.64,60.7,40.53
159,Nome,1,US,1547511300,66,30.04,-94.42,50.0,5.82
160,Port Elizabeth,1,US,1547510160,66,39.31,-74.98,32.0,4.7
161,Ilulissat,36,GL,1547509800,63,69.22,-51.1,-11.21,3.36
162,Ambovombe,64,MG,1547513082,86,-25.18,46.09,78.79,4.74
163,Golden,90,CA,1547510400,79,51.3,-116.96,24.8,2.24
164,Hermanus,0,ZA,1547513083,96,-34.42,19.24,51.11,2.55
165,Dunedin,20,NZ,1547513064,88,-45.87,170.5,61.19,3.85
166,Yar-Sale,56,RU,1547513083,91,66.83,70.83,9.22,9.55
167,Manta,0,RO,1547513083,54,45.1,24.1,11.69,5.35
168,Kirakira,0,SB,1547513083,100,-10.46,161.92,84.19,9.6
169,Port Hawkesbury,75,CA,1547510640,85,45.62,-61.36,12.2,6.93
170,Alofi,40,NU,1547510400,62,-19.06,-169.92,87.8,13.87
171,Tuatapere,0,NZ,1547513084,89,-46.13,167.69,59.17,6.42
172,Lapua,80,FI,1547511600,92,62.97,23.01,24.8,10.29
173,Valparaiso,90,US,1547512860,83,41.47,-87.06,26.6,11.41
174,Bredasdorp,56,ZA,1547510400,82,-34.53,20.04,59.0,3.36
175,Yulara,0,AU,1547510400,14,-25.24,130.99,100.4,6.93
176,Ferry Pass,90,US,1547511300,76,30.51,-87.21,43.52,11.41
177,Freetown,20,BS,1547510400,83,26.61,-78.36,69.8,9.17
178,Hofn,0,IS,1547512797,100,64.25,-15.21,38.69,24.47
179,Coahuayana,20,MX,1547513085,34,18.62,-100.35,77.53,2.28
180,Polonne,64,UA,1547513085,86,50.12,27.51,23.93,17.83
181,Sahuaripa,88,MX,1547512835,45,29.05,-109.23,62.23,3.51
182,Topolobampo,90,MX,1547509440,77,25.6,-109.05,62.6,8.93
183,Camp Verde,90,US,1547512500,70,34.56,-111.85,51.8,5.53
184,Dzaoudzi,0,YT,1547512200,78,-12.79,45.27,82.4,3.36
185,Buala,68,SB,1547513086,100,-8.15,159.59,81.53,4.34
186,Faya,0,SA,1547510400,12,18.39,42.45,53.6,2.21
187,Tomatlan,88,MX,1547513086,76,19.93,-105.25,76.18,1.99
188,Koungheul,0,SN,1547513087,33,13.98,-14.8,73.12,9.66
189,Mineros,40,BO,1547510400,88,-17.12,-63.23,78.8,4.7
190,Uyuni,12,BO,1547513087,85,-20.46,-66.82,48.1,4.0
191,Gorontalo,88,ID,1547513087,100,0.54,123.06,73.16,2.33
192,Mareeba,40,AU,1547510400,79,-16.99,145.42,84.2,12.75
193,Fairbanks,1,US,1547510280,86,64.84,-147.72,-0.23,2.89
194,Namibe,32,AO,1547513087,100,-15.19,12.15,72.04,5.41
195,Fortuna,0,ES,1547510400,61,38.18,-1.13,46.4,6.93
196,Kaitangata,36,NZ,1547512857,90,-46.28,169.85,61.19,7.25
197,Makubetsu,75,JP,1547510400,84,42.84,143.34,8.6,2.24
198,Sungairaya,48,ID,1547513088,96,0.7,108.9,76.63,3.33
199,Kibaya,75,RW,1547510400,68,-2.2,30.56,66.2,3.36
200,Creel,68,MX,1547513088,55,27.75,-107.63,51.61,4.79
201,Tutoia,92,BR,1547513089,99,-2.76,-42.27,76.45,4.23
202,Whakatane,8,NZ,1547513089,100,-37.96,176.99,66.19,4.34
203,Grand Gaube,76,MU,1547513089,100,-20.01,57.66,81.08,16.6
204,Kapuskasing,75,CA,1547510400,85,49.42,-82.43,14.0,5.82
205,Tabou,0,CI,1547513089,100,4.42,-7.36,82.61,7.92
206,Bronnoysund,90,NO,1547511600,92,65.46,12.2,28.4,3.36
207,Birin,48,SY,1547513089,90,35.01,36.67,39.91,5.41
208,Le Havre,90,FR,1547510400,70,49.49,0.11,46.4,8.05
209,At-Bashi,8,KG,1547513090,45,41.17,75.81,-12.57,2.33
210,Mangrol,0,IN,1547513090,72,25.33,76.51,38.74,3.0
211,Ankazoabo,36,MG,1547513090,97,-22.29,44.51,68.84,2.77
212,Bilma,0,NE,1547512881,38,18.69,12.92,40.63,7.31
213,Ekibastuz,56,KZ,1547513090,80,51.72,75.32,19.3,8.88
214,Presidencia Roque Saenz Pena,44,AR,1547513091,88,-26.79,-60.44,80.05,4.23
215,Mana,88,RS,1547512200,86,43.52,20.24,32.0,6.08
216,Isangel,68,VU,1547513080,100,-19.55,169.27,78.43,11.95
217,Carnarvon,0,ZA,1547513091,33,-30.97,22.13,56.29,6.08
218,Hobyo,64,SO,1547513091,88,5.35,48.53,74.47,15.59
219,Rio Grande,92,BR,1547513090,98,-32.03,-52.1,75.14,3.85
220,Baoding,0,CN,1547513091,24,38.86,115.49,13.36,10.27
221,Broken Hill,0,AU,1547510700,11,-31.97,141.45,104.0,20.8
222,Great Yarmouth,8,GB,1547511600,100,52.61,1.73,37.4,10.29
223,Verkhnevilyuysk,8,RU,1547513092,78,63.45,120.31,-38.04,2.77
224,Soure,36,PT,1547510400,100,40.06,-8.63,41.0,2.24
225,Zyryanovsk,0,KZ,1547513092,50,49.74,84.27,-4.87,2.62
226,Vestmannaeyjar,48,IS,1547512860,100,63.44,-20.27,39.1,18.1
227,Pevek,64,RU,1547513093,100,69.7,170.27,-14.46,12.46
228,Henties Bay,80,NA,1547513093,96,-22.12,14.28,63.89,3.56
229,Tiarei,75,PF,1547512200,70,-17.53,-149.33,86.0,12.75
230,Petit Goave,20,HT,1547510400,74,18.43,-72.87,80.6,10.29
231,Flinders,0,AU,1547510400,58,-34.58,150.85,86.0,5.82
232,Torbay,90,CA,1547510400,79,47.66,-52.73,23.0,13.87
233,Bereda,64,ES,1547510400,100,43.27,-7.54,37.4,4.7
234,Sinazongwe,8,ZM,1547513094,83,-17.26,27.46,77.84,4.74
235,Batagay-Alyta,0,RU,1547513094,0,67.8,130.41,-58.24,2.77
236,Anantapur,0,IN,1547512848,82,14.68,77.61,53.23,2.89
237,Lensk,44,RU,1547513094,59,60.71,114.91,-13.02,3.0
238,Portland,20,US,1547510160,46,45.52,-122.67,50.0,6.93
239,Menongue,92,AO,1547513061,23,-14.66,17.68,81.13,6.91
240,Berzovia,0,RO,1547512200,69,45.43,21.63,33.8,13.87
241,Rio Tercero,92,AR,1547513095,100,-32.17,-64.11,64.48,6.76
242,Trinidad,92,UY,1547513095,65,-33.52,-56.9,79.64,6.91
243,Qaqortoq,64,GL,1547509800,68,60.72,-46.03,28.4,4.74
244,Miri,0,NG,1547513096,61,10.31,9.75,57.23,3.0
245,Saint-Georges,0,CA,1547513096,86,46.12,-70.67,1.84,4.12
246,Manokwari,36,ID,1547512934,100,-0.87,134.08,80.63,5.57
247,Abrau-Dyurso,88,RU,1547510400,75,44.7,37.6,44.6,15.66
248,Faanui,76,PF,1547512828,100,-16.48,-151.75,82.3,16.93
249,Margate,0,AU,1547510400,61,-43.03,147.26,77.0,11.41
250,Longyearbyen,20,NO,1547509800,71,78.22,15.63,5.0,8.05
251,Hithadhoo,80,MV,1547513097,100,-0.6,73.08,81.76,4.12
252,Takoradi,44,GH,1547513097,100,4.89,-1.75,81.04,7.65
253,Itarema,20,BR,1547512865,97,-2.92,-39.92,75.55,4.9
254,Pingxiang,92,CN,1547513097,98,27.63,113.85,42.52,3.06
255,Skoczow,0,PL,1547512200,73,49.8,18.79,24.8,4.7
256,Pedana,8,IN,1547510400,93,16.26,81.15,66.2,0.76
257,Sooke,1,CA,1547511000,84,48.37,-123.73,46.4,2.33
258,Svarstad,0,NO,1547511600,61,59.4,9.97,32.0,12.75
259,Kalakamati,32,BW,1547513098,73,-20.59,27.31,71.63,8.59
260,Poum,8,MK,1547513052,87,41.28,20.71,20.33,2.28
261,Xapuri,56,BR,1547513098,84,-10.65,-68.5,78.79,2.1
262,Hay River,40,CA,1547510400,75,60.82,-115.79,-18.41,5.82
263,Ulaanbaatar,0,MN,1547510400,67,47.92,106.92,-23.81,2.33
264,Plettenberg Bay,0,ZA,1547513099,100,-34.05,23.37,65.33,5.01
265,Tuktoyaktuk,75,CA,1547510400,76,69.44,-133.03,-7.61,16.11
266,Sobolevo,92,RU,1547513099,97,54.43,31.9,31.27,10.89
267,Maryborough,0,AU,1547513049,45,-25.54,152.7,86.44,4.29
268,Luanda,20,AO,1547510400,83,-8.83,13.24,77.0,5.82
269,Klyuchi,88,RU,1547513100,80,52.25,79.17,19.61,17.43
270,Oksfjord,0,NO,1547511600,85,70.24,22.35,21.2,3.36
271,Notre-Dame-du-Lac,1,CA,1547509980,63,47.61,-68.8,12.02,3.29
272,Nova Olinda do Norte,56,BR,1547513101,86,-3.89,-59.1,78.61,3.89
273,Cabo San Lucas,90,MX,1547509440,77,22.89,-109.91,68.0,11.41
274,Khatanga,56,RU,1547513101,54,71.98,102.47,-18.46,16.87
275,Nara,75,JP,1547512200,70,34.68,135.8,44.6,8.05
276,Tasiilaq,64,GL,1547509800,51,65.61,-37.64,14.0,18.34
277,Stephenville,90,US,1547512500,67,32.22,-98.2,46.4,3.0
278,Ahipara,92,NZ,1547513102,79,-35.17,173.16,68.44,18.61
279,Souillac,90,FR,1547510400,75,45.6,-0.6,42.8,1.12
280,Elko,1,US,1547510160,58,40.83,-115.76,30.02,10.29
281,Oriximina,36,BR,1547513102,95,-1.77,-55.87,76.72,2.1
282,Serenje,92,ZM,1547513102,97,-13.23,30.22,63.71,6.53
283,Lebu,0,ET,1547512818,65,8.96,38.73,34.19,2.51
284,Xichang,0,CN,1547513103,78,27.88,102.25,29.02,1.61
285,Bambous Virieux,76,MU,1547513103,82,-20.34,57.76,79.64,9.89
286,Geraldton,20,CA,1547510400,77,49.72,-86.95,6.8,2.24
287,San Ramon,56,NI,1547513104,82,12.92,-85.84,67.13,4.41
288,Yamada,75,JP,1547510400,49,36.58,137.08,46.4,6.93
289,Concepcion del Oro,32,MX,1547513104,70,24.63,-101.42,55.61,3.78
290,Alice Springs,0,AU,1547510400,15,-23.7,133.88,100.4,6.93
291,Mahon,40,IE,1547512200,100,51.89,-8.4,41.0,4.7
292,Wasilla,1,US,1547510280,92,61.58,-149.44,28.04,3.0
293,Vyshneve,40,UA,1547510400,74,50.39,30.37,30.2,13.42
294,Talnakh,80,RU,1547513106,83,69.49,88.39,7.24,20.07
295,Airai,20,TL,1547513107,80,-8.93,125.41,76.58,1.88
296,Mandera,0,ET,1547513107,36,3.94,41.86,67.27,4.34
297,Paamiut,48,GL,1547513107,100,61.99,-49.67,26.14,3.33
298,Buta,36,CD,1547513107,97,2.79,24.73,69.16,3.74
299,Olovyannaya,44,RU,1547513107,57,50.94,115.59,-13.2,6.87
300,Calawag,24,PH,1547513108,85,10.67,119.57,80.23,19.33
301,Te Anau,0,NZ,1547513108,61,-45.41,167.72,62.5,3.51
302,Victoria,75,BN,1547510400,88,5.28,115.24,80.6,5.82
303,Makakilo City,90,US,1547510220,60,21.35,-158.09,82.04,9.17
304,Gat,8,SN,1547510400,49,14.69,-16.54,73.4,4.7
305,Qandala,8,SO,1547513109,100,11.47,49.87,58.04,3.29
306,Ixtapa,90,MX,1547509740,83,20.71,-105.21,78.8,9.17
307,Chico,90,US,1547510040,50,39.73,-121.84,57.92,12.75
308,Kamenka,76,RU,1547513110,92,53.19,44.05,21.55,14.18
309,Derzhavinsk,88,KZ,1547513110,96,51.1,66.31,24.34,7.09
310,Oistins,40,BB,1547510400,73,13.07,-59.53,77.0,14.99
311,Newport,75,GB,1547511600,93,51.59,-3.0,46.4,6.93
312,Caohai,92,CN,1547513111,92,26.87,104.28,27.85,3.89
313,Havoysund,0,NO,1547511600,85,71.0,24.66,21.2,3.36
314,Rapar,0,IN,1547513111,71,23.57,70.65,51.88,5.41
315,Kaeo,56,NZ,1547513058,62,-35.1,173.78,70.91,16.64
316,Kharopon,92,GR,1547513111,86,41.27,23.38,21.64,2.21
317,Walvis Bay,92,NA,1547510400,82,-22.95,14.51,66.2,5.82
318,Luderitz,0,NA,1547513112,64,-26.65,15.16,64.03,20.96
319,Ust-Maya,64,RU,1547513112,66,60.42,134.54,-35.47,3.06
320,Gaomi,20,CN,1547510400,71,36.37,119.8,32.0,17.9
321,Jalingo,0,NG,1547513113,34,10.3,10.93,63.44,6.42
322,Codrington,0,AU,1547510400,51,-28.95,153.24,87.8,5.82
323,Berdigestyakh,0,RU,1547513113,82,62.1,126.7,-39.39,2.62
324,Sterling,1,US,1547512500,86,39.0,-77.4,28.94,4.9
325,Spas-Demensk,92,RU,1547513114,91,54.41,34.03,29.33,14.29
326,Port Hueneme,75,US,1547511180,73,34.15,-119.2,57.02,13.87
327,Cabedelo,20,BR,1547510400,83,-6.97,-34.84,77.0,5.82
328,Orlik,0,RU,1547513114,39,52.51,99.83,-29.62,1.88
329,Paris,0,FR,1547510400,80,48.86,2.35,42.8,2.24
330,Mmabatho,32,ZA,1547510400,57,-25.85,25.61,75.2,9.17
331,Puerto Maldonado,48,PE,1547513114,94,-12.59,-69.19,74.65,1.83
332,Tendukheda,0,IN,1547513115,86,23.4,79.54,46.43,3.62
333,Guerrero Negro,0,MX,1547513115,57,27.97,-114.04,69.52,5.64
334,Slavyanka,76,RU,1547513115,100,42.86,131.39,27.94,13.4
335,Luba,0,PH,1547513115,71,17.32,120.7,66.1,3.51
336,Kaili,80,ID,1547513115,84,-3.46,120.21,73.75,2.62
337,Kostomuksha,88,RU,1547513115,85,64.59,30.6,19.75,6.53
338,Imeni Poliny Osipenko,64,RU,1547512854,76,52.42,136.49,-11.85,2.84
339,Shihezi,48,CN,1547513116,73,44.3,86.03,-3.34,2.84
340,Pisco,0,PE,1547510400,83,-13.71,-76.2,73.4,18.34
341,Tiznit,36,MA,1547513116,75,29.7,-9.73,48.68,3.85
342,Biltine,0,TD,1547513116,36,14.53,20.93,60.34,6.35
343,Stokmarknes,0,NO,1547513116,100,68.56,14.91,20.92,5.53
344,Clyde River,75,CA,1547511300,66,70.47,-68.59,-29.21,6.93
345,Mitu,36,IR,1547513117,84,36.2,46.09,30.68,5.35
346,Ketchikan,90,US,1547510160,95,55.34,-131.65,46.04,4.7
347,La Baneza,32,ES,1547510400,92,42.3,-5.9,26.6,2.24
348,Sergeyevka,76,KZ,1547513117,83,53.88,67.42,17.18,3.0
349,Nagorsk,88,RU,1547513117,85,59.32,50.8,16.42,12.95
350,Yerbogachen,56,RU,1547513117,66,61.28,108.01,-15.09,2.73
351,Pudozh,92,RU,1547513118,88,61.81,36.54,27.94,13.47
352,Chernyshevskiy,32,RU,1547513118,51,63.01,112.47,-31.02,4.23
353,Carballo,8,ES,1547510400,100,43.21,-8.69,41.0,4.7
354,Bridlington,20,GB,1547511600,93,54.08,-0.19,42.8,17.22
355,Awjilah,0,LY,1547513118,49,29.14,21.3,48.55,12.95
356,Zaragoza,0,ES,1547510400,75,41.65,-0.88,46.4,10.29
357,Okhotsk,56,RU,1547513111,100,59.36,143.24,-15.09,7.58
358,Chiredzi,48,ZW,1547513119,84,-21.05,31.67,78.56,4.63
359,Wajir,68,KE,1547513119,53,1.75,40.07,79.78,6.31
360,Port Shepstone,80,ZA,1547513119,99,-30.74,30.45,73.61,4.56
361,Tete,40,MZ,1547510400,94,-16.16,33.59,77.0,4.7
362,Artyom,75,RU,1547510400,79,43.36,132.19,19.4,4.47
363,Verkhoyansk,8,RU,1547513120,0,67.55,133.39,-63.06,2.55
364,Banda Aceh,88,ID,1547513120,100,5.56,95.32,73.79,2.1
365,Cherskiy,32,RU,1547513120,53,68.75,161.3,-30.93,3.78
366,Kamaishi,75,JP,1547510400,79,39.28,141.86,24.8,3.36
367,Chokurdakh,56,RU,1547513121,40,70.62,147.9,-25.84,3.11
368,Vila Velha,40,BR,1547510400,88,-3.71,-38.6,80.6,2.24
369,Beringovskiy,76,RU,1547513081,99,63.05,179.32,-3.21,31.41
370,Ucluelet,5,CA,1547510400,81,48.94,-125.55,46.4,2.24
371,Poanas,75,MX,1547509560,36,25.77,-103.61,75.2,6.93
